Area of Residence,Year,Age at Death,Female,Male,_Total
Wexford,2012,25 - 29 years,3,2,5
Wexford,2012,30 - 34 years,4,6,10
Wexford,2012,35 - 39 years,7,9,16
Wexford,2012,40 - 44 years,5,9,14
Wexford,2012,45 - 49 years,11,19,30
Wexford,2012,5 - 9 years,0,2,2
Wexford,2012,50 - 54 years,13,20,33
Wexford,2012,55 - 59 years,20,16,36
Wexford,2012,60 - 64 years,22,33,55
Wexford,2012,65 - 69 years,25,53,78
Wexford,2012,70 - 74 years,47,56,103
Wexford,2012,75 - 79 years,59,71,130
Wexford,2012,80 - 84 years,75,76,151
Wexford,2012,85 years and over,184,123,307
Wexford,2012,Under 1 year,6,4,10
Wexford,2013,1 - 4 years,0,1,1
Wexford,2013,10 - 14 years,0,2,2
Wexford,2013,15 - 19 years,0,2,2
Wexford,2013,20 - 24 years,2,1,3
Wexford,2013,25 - 29 years,0,4,4
Wexford,2013,30 - 34 years,3,9,12
Wexford,2013,35 - 39 years,1,2,3
Wexford,2013,40 - 44 years,5,8,13
Wexford,2013,45 - 49 years,10,11,21
Wexford,2013,5 - 9 years,3,1,4
Wexford,2013,50 - 54 years,7,19,26
Wexford,2013,55 - 59 years,15,32,47
Wexford,2013,60 - 64 years,19,37,56
Wexford,2013,65 - 69 years,43,36,79
Wexford,2013,70 - 74 years,35,69,104
Wexford,2013,75 - 79 years,53,86,139
Wexford,2013,80 - 84 years,85,84,169
Wexford,2013,85 years and over,184,113,297
Wexford,2013,Under 1 year,3,5,8
Wexford,2014,1 - 4 years,2,1,3
Wexford,2014,10 - 14 years,0,2,2
Wexford,2014,15 - 19 years,0,1,1
Wexford,2014,20 - 24 years,1,4,5
Wexford,2014,25 - 29 years,4,4,8
Wexford,2014,30 - 34 years,1,5,6
Wexford,2014,35 - 39 years,2,7,9
Wexford,2014,40 - 44 years,6,15,21
Wexford,2014,45 - 49 years,8,11,19
Wexford,2014,5 - 9 years,3,1,4
Wexford,2014,50 - 54 years,16,26,42
Wexford,2014,55 - 59 years,19,31,50
Wexford,2014,60 - 64 years,22,33,55
Wexford,2014,65 - 69 years,34,51,85
Wexford,2014,70 - 74 years,37,54,91
Wexford,2014,75 - 79 years,63,81,144
Wexford,2014,80 - 84 years,83,86,169
Wexford,2014,85 years and over,191,115,306
Wexford,2014,Under 1 year,5,4,9
Wexford,2015,1 - 4 years,1,1,2
Wexford,2015,10 - 14 years,0,2,2
Wexford,2015,15 - 19 years,1,1,2
Wexford,2015,20 - 24 years,1,5,6
Wexford,2015,25 - 29 years,4,6,10
Wexford,2015,30 - 34 years,9,6,15
Wexford,2015,35 - 39 years,2,7,9
Wexford,2015,40 - 44 years,2,12,14
Wexford,2015,45 - 49 years,5,12,17
Wexford,2015,5 - 9 years,3,1,4
Wexford,2015,50 - 54 years,7,19,26
Wexford,2015,55 - 59 years,14,16,30
Wexford,2015,60 - 64 years,25,29,54
Wexford,2015,65 - 69 years,37,51,88
Wexford,2015,70 - 74 years,42,71,113
Wexford,2015,75 - 79 years,63,85,148
Wexford,2015,80 - 84 years,72,72,144
Wexford,2015,85 years and over,181,119,300
Wexford,2015,Under 1 year,6,4,10
Wexford,2016,1 - 4 years,1,1,2
Wexford,2016,10 - 14 years,1,2,3
Wexford,2016,15 - 19 years,3,1,4
Wexford,2016,20 - 24 years,1,1,2
Wexford,2016,25 - 29 years,4,4,8
Wexford,2016,30 - 34 years,4,4,8
Wexford,2016,35 - 39 years,3,6,9
Wexford,2016,40 - 44 years,3,8,11
Wexford,2016,45 - 49 years,10,16,26
Wexford,2016,5 - 9 years,3,1,4
Wexford,2016,50 - 54 years,6,14,20
Wexford,2016,55 - 59 years,21,20,41
Wexford,2016,60 - 64 years,21,36,57
Wexford,2016,65 - 69 years,32,41,73
Wexford,2016,70 - 74 years,45,71,116
Wexford,2016,75 - 79 years,68,97,165
Wexford,2016,80 - 84 years,75,98,173
Wexford,2016,85 years and over,196,139,335
Wexford,2016,Under 1 year,2,5,7
Wexford,2017,1 - 4 years,1,1,2
Wexford,2017,10 - 14 years,1,2,3
Wexford,2017,15 - 19 years,3,2,5
Wexford,2017,20 - 24 years,1,1,2
Wexford,2017,25 - 29 years,3,5,8
Wexford,2017,30 - 34 years,2,5,7
Wexford,2017,35 - 39 years,4,6,10
Wexford,2017,40 - 44 years,4,9,13
Wexford,2017,45 - 49 years,5,13,18
Wexford,2017,5 - 9 years,3,1,4
Wexford,2017,50 - 54 years,9,14,23
Wexford,2017,55 - 59 years,18,29,47
Wexford,2017,60 - 64 years,23,31,54
Wexford,2017,65 - 69 years,41,49,90
Wexford,2017,70 - 74 years,52,71,123
Wexford,2017,75 - 79 years,55,95,150
Wexford,2017,80 - 84 years,74,108,182
Wexford,2017,85 years and over,197,124,321
Wexford,2017,Under 1 year,4,3,7
Wexford,2018,1 - 4 years,0,1,1
Wexford,2018,10 - 14 years,1,1,2
Wexford,2018,15 - 19 years,1,1,2
Wexford,2018,20 - 24 years,4,2,6
Wexford,2018,25 - 29 years,1,0,1
Wexford,2018,30 - 34 years,3,6,9
Wexford,2018,35 - 39 years,2,7,9
Wexford,2018,40 - 44 years,4,9,13
Wexford,2018,45 - 49 years,7,18,25
Wexford,2018,5 - 9 years,0,1,1
Wexford,2018,50 - 54 years,11,17,28
Wexford,2018,55 - 59 years,21,26,47
Wexford,2018,60 - 64 years,29,26,55
Wexford,2018,65 - 69 years,32,47,79
Wexford,2018,70 - 74 years,47,75,122
Wexford,2018,75 - 79 years,69,92,161
Wexford,2018,80 - 84 years,96,100,196
Wexford,2018,85 years and over,216,147,363
Wexford,2018,Under 1 year,5,4,9
Wexford,2019,1 - 4 years,0,1,1
Wexford,2019,10 - 14 years,0,1,1
Wexford,2019,15 - 19 years,3,2,5
Wexford,2019,20 - 24 years,1,3,4
Wexford,2019,25 - 29 years,1,4,5
Wexford,2019,30 - 34 years,3,3,6
Wexford,2019,35 - 39 years,4,7,11
Wexford,2019,40 - 44 years,5,11,16
Wexford,2019,45 - 49 years,5,17,22
Wexford,2019,5 - 9 years,0,0,0
Wexford,2019,50 - 54 years,9,13,22
Wexford,2019,55 - 59 years,13,30,43
Wexford,2019,60 - 64 years,23,53,76
Wexford,2019,65 - 69 years,33,50,83
Wexford,2019,70 - 74 years,49,62,111
Wexford,2019,75 - 79 years,56,76,132
Wexford,2019,80 - 84 years,86,109,195
Wexford,2019,85 years and over,201,165,366
Wexford,2019,Under 1 year,3,5,8
Wexford,2020,1 - 4 years,0,2,2
Wexford,2020,10 - 14 years,0,1,1
Wexford,2020,15 - 19 years,1,3,4
Wexford,2020,20 - 24 years,1,1,2
Wexford,2020,25 - 29 years,1,2,3
Wexford,2020,30 - 34 years,3,5,8
Wexford,2020,35 - 39 years,4,7,11
Wexford,2020,40 - 44 years,12,6,18
Wexford,2020,45 - 49 years,2,13,15
Wexford,2020,5 - 9 years,1,1,2
Wexford,2020,50 - 54 years,13,17,30
Wexford,2020,55 - 59 years,20,28,48
Wexford,2020,60 - 64 years,29,35,64
Wexford,2020,65 - 69 years,36,49,85
Wexford,2020,70 - 74 years,45,77,122
Wexford,2020,75 - 79 years,54,71,125
Wexford,2020,80 - 84 years,78,100,178
Wexford,2020,85 years and over,192,144,336
Wexford,2020,Under 1 year,3,3,6
Wexford Borough,2007,1 - 4 years,0,0,0
Wexford Borough,2007,10 - 14 years,1,0,1
Wexford Borough,2007,15 - 19 years,0,2,2
Wexford Borough,2007,20 - 24 years,1,1,2
Wexford Borough,2007,25 - 29 years,0,0,0
Wexford Borough,2007,30 - 34 years,1,2,3
Wexford Borough,2007,35 - 39 years,1,1,2
Wexford Borough,2007,40 - 44 years,1,0,1
Wexford Borough,2007,45 - 49 years,1,3,4
Wexford Borough,2007,5 - 9 years,0,0,0
Wexford Borough,2007,50 - 54 years,1,3,4
Wexford Borough,2007,55 - 59 years,4,7,11
Wexford Borough,2007,60 - 64 years,3,8,11
Wexford Borough,2007,65 - 69 years,2,3,5
Wexford Borough,2007,70 - 74 years,3,6,9
Wexford Borough,2007,75 - 79 years,9,7,16
Wexford Borough,2007,80 - 84 years,15,11,26
Wexford Borough,2007,85 years and over,27,11,38
Wexford Borough,2007,Under 1 year,0,1,1
Wexford Borough,2008,1 - 4 years,0,0,0
Wexford Borough,2008,10 - 14 years,1,0,1
Wexford Borough,2008,15 - 19 years,1,2,3
Wexford Borough,2008,20 - 24 years,1,1,2
Wexford Borough,2008,25 - 29 years,1,3,4
Wexford Borough,2008,30 - 34 years,1,2,3
Wexford Borough,2008,35 - 39 years,1,1,2
Wexford Borough,2008,40 - 44 years,1,2,3
Wexford Borough,2008,45 - 49 years,1,1,2
Wexford Borough,2008,5 - 9 years,0,0,0
Wexford Borough,2008,50 - 54 years,1,2,3
Wexford Borough,2008,55 - 59 years,4,7,11
Wexford Borough,2008,60 - 64 years,4,5,9
Wexford Borough,2008,65 - 69 years,5,12,17
Wexford Borough,2008,70 - 74 years,12,11,23
Wexford Borough,2008,75 - 79 years,10,6,16
Wexford Borough,2008,80 - 84 years,16,6,22
Wexford Borough,2008,85 years and over,17,8,25
Wexford Borough,2008,Under 1 year,1,1,2
Wexford Borough,2009,1 - 4 years,0,1,1
Wexford Borough,2009,10 - 14 years,1,0,1
Wexford Borough,2009,15 - 19 years,1,2,3
Wexford Borough,2009,20 - 24 years,1,1,2
Wexford Borough,2009,25 - 29 years,1,1,2
Wexford Borough,2009,30 - 34 years,1,2,3
Wexford Borough,2009,35 - 39 years,1,1,2
Wexford Borough,2009,40 - 44 years,1,2,3
Wexford Borough,2009,45 - 49 years,2,3,5
Wexford Borough,2009,5 - 9 years,0,0,0
Wexford Borough,2009,50 - 54 years,2,4,6
Wexford Borough,2009,55 - 59 years,4,2,6
Wexford Borough,2009,60 - 64 years,1,4,5
Wexford Borough,2009,65 - 69 years,4,8,12
Wexford Borough,2009,70 - 74 years,5,10,15
Wexford Borough,2009,75 - 79 years,8,10,18
Wexford Borough,2009,80 - 84 years,13,6,19
Wexford Borough,2009,85 years and over,22,22,44
Wexford Borough,2009,Under 1 year,1,1,2
Wexford Borough,2010,1 - 4 years,0,1,1
Wexford Borough,2010,10 - 14 years,1,0,1
Wexford Borough,2010,15 - 19 years,1,2,3
Wexford Borough,2010,20 - 24 years,1,1,2
Wexford Borough,2010,25 - 29 years,1,1,2
Wexford Borough,2010,30 - 34 years,1,2,3
Wexford Borough,2010,35 - 39 years,1,1,2
Wexford Borough,2010,40 - 44 years,1,2,3
Wexford Borough,2010,45 - 49 years,1,1,2
Wexford Borough,2010,5 - 9 years,0,0,0
Wexford Borough,2010,50 - 54 years,2,4,6
Wexford Borough,2010,55 - 59 years,5,5,10
Wexford Borough,2010,60 - 64 years,3,10,13
Wexford Borough,2010,65 - 69 years,7,10,17
Wexford Borough,2010,70 - 74 years,3,10,13
Wexford Borough,2010,75 - 79 years,7,11,18
Wexford Borough,2010,80 - 84 years,8,11,19
Wexford Borough,2010,85 years and over,31,9,40
Wexford Borough,2010,Under 1 year,1,1,2
Wexford Borough,2011,1 - 4 years,0,0,0
Wexford Borough,2011,10 - 14 years,0,0,0
Wexford Borough,2011,15 - 19 years,0,0,0
Wexford Borough,2011,20 - 24 years,1,1,2
Wexford Borough,2011,25 - 29 years,0,1,1
Wexford Borough,2011,30 - 34 years,0,1,1
Wexford Borough,2011,35 - 39 years,1,1,2
Wexford Borough,2011,40 - 44 years,1,3,4
Wexford Borough,2011,45 - 49 years,1,2,3
Wexford Borough,2011,5 - 9 years,0,1,1
Wexford Borough,2011,50 - 54 years,1,0,1
Wexford Borough,2011,55 - 59 years,0,0,0
Wexford Borough,2011,60 - 64 years,2,5,7
Wexford Borough,2011,65 - 69 years,5,10,15
Wexford Borough,2011,70 - 74 years,7,9,16
Wexford Borough,2011,75 - 79 years,8,7,15
Wexford Borough,2011,80 - 84 years,7,9,16
Wexford Borough,2011,85 years and over,21,9,30
Wexford Borough,2011,Under 1 year,0,0,0
Wexford Borough,2012,1 - 4 years,0,1,1
Wexford Borough,2012,10 - 14 years,0,0,0
Wexford Borough,2012,15 - 19 years,0,0,0
Wexford Borough,2012,20 - 24 years,1,1,2
Wexford Borough,2012,25 - 29 years,0,1,1
Wexford Borough,2012,30 - 34 years,1,2,3
Wexford Borough,2012,35 - 39 years,3,1,4
Wexford Borough,2012,40 - 44 years,2,4,6
Wexford Borough,2012,45 - 49 years,1,3,4
Wexford Borough,2012,5 - 9 years,0,1,1
Wexford Borough,2012,50 - 54 years,2,3,5
Wexford Borough,2012,55 - 59 years,5,2,7
Wexford Borough,2012,60 - 64 years,3,7,10
Wexford Borough,2012,65 - 69 years,3,10,13
Wexford Borough,2012,70 - 74 years,5,8,13
Wexford Borough,2012,75 - 79 years,6,9,15
Wexford Borough,2012,80 - 84 years,17,13,30
Wexford Borough,2012,85 years and over,25,18,43
Wexford Borough,2012,Under 1 year,0,1,1
Wexford Borough,2013,1 - 4 years,0,1,1
Wexford Borough,2013,10 - 14 years,0,0,0
Wexford Borough,2013,15 - 19 years,0,0,0
Wexford Borough,2013,20 - 24 years,0,0,0
Wexford Borough,2013,25 - 29 years,0,0,0
Wexford Borough,2013,30 - 34 years,0,1,1
Wexford Borough,2013,35 - 39 years,0,0,0
Wexford Borough,2013,40 - 44 years,2,2,4
Wexford Borough,2013,45 - 49 years,1,1,2
Wexford Borough,2013,5 - 9 years,0,0,0
Wexford Borough,2013,50 - 54 years,2,3,5
Wexford Borough,2013,55 - 59 years,3,2,5
Wexford Borough,2013,60 - 64 years,2,6,8
Wexford Borough,2013,65 - 69 years,3,4,7
Wexford Borough,2013,70 - 74 years,7,14,21
Wexford Borough,2013,75 - 79 years,7,14,21
Wexford Borough,2013,80 - 84 years,10,10,20
Wexford Borough,2013,85 years and over,28,4,32
Wexford Borough,2013,Under 1 year,1,1,2
Wexford Borough,2014,1 - 4 years,0,1,1
Wexford Borough,2014,10 - 14 years,0,0,0
Wexford Borough,2014,15 - 19 years,0,0,0
Wexford Borough,2014,20 - 24 years,0,0,0
Wexford Borough,2014,25 - 29 years,0,0,0
Wexford Borough,2014,30 - 34 years,0,1,1
Wexford Borough,2014,35 - 39 years,0,1,1
Wexford Borough,2014,40 - 44 years,2,2,4
Wexford Borough,2014,45 - 49 years,1,2,3
Wexford Borough,2014,5 - 9 years,0,0,0
Wexford Borough,2014,50 - 54 years,6,2,8
Wexford Borough,2014,55 - 59 years,3,5,8
Wexford Borough,2014,60 - 64 years,4,5,9
Wexford Borough,2014,65 - 69 years,1,6,7
Wexford Borough,2014,70 - 74 years,3,7,10
Wexford Borough,2014,75 - 79 years,11,15,26
Wexford Borough,2014,80 - 84 years,9,14,23
Wexford Borough,2014,85 years and over,26,18,44
Wexford Borough,2014,Under 1 year,1,1,2
Wexford Borough,2015,1 - 4 years,0,1,1
Wexford Borough,2015,10 - 14 years,0,0,0
Wexford Borough,2015,15 - 19 years,0,0,0
Wexford Borough,2015,20 - 24 years,0,0,0
Wexford Borough,2015,25 - 29 years,0,0,0
Wexford Borough,2015,30 - 34 years,0,1,1
Wexford Borough,2015,35 - 39 years,0,1,1
Wexford Borough,2015,40 - 44 years,2,2,4
Wexford Borough,2015,45 - 49 years,1,2,3
Wexford Borough,2015,5 - 9 years,0,0,0
Wexford Borough,2015,50 - 54 years,6,2,8
Wexford Borough,2015,55 - 59 years,3,5,8
Wexford Borough,2015,60 - 64 years,4,5,9
Wexford Borough,2015,65 - 69 years,1,6,7
Wexford Borough,2015,70 - 74 years,3,7,10
Wexford Borough,2015,75 - 79 years,11,15,26
Wexford Borough,2015,80 - 84 years,9,14,23
Wexford Borough,2015,85 years and over,26,18,44
Wexford Borough,2015,Under 1 year,1,1,2
Wexford Borough,2016,1 - 4 years,0,1,1
Wexford Borough,2016,10 - 14 years,0,0,0
Wexford Borough,2016,15 - 19 years,0,0,0
Wexford Borough,2016,20 - 24 years,0,0,0
Wexford Borough,2016,25 - 29 years,0,0,0
Wexford Borough,2016,30 - 34 years,0,1,1
Wexford Borough,2016,35 - 39 years,0,1,1
Wexford Borough,2016,40 - 44 years,2,2,4
Wexford Borough,2016,45 - 49 years,1,2,3
Wexford Borough,2016,5 - 9 years,0,0,0
Wexford Borough,2016,50 - 54 years,6,2,8
Wexford Borough,2016,55 - 59 years,3,5,8
Wexford Borough,2016,60 - 64 years,4,5,9
Wexford Borough,2016,65 - 69 years,1,6,7
Wexford Borough,2016,70 - 74 years,3,7,10
Wexford Borough,2016,75 - 79 years,11,15,26
Wexford Borough,2016,80 - 84 years,9,14,23
Wexford Borough,2016,85 years and over,26,18,44
Wexford Borough,2016,Under 1 year,1,1,2
Wexford Borough,2017,1 - 4 years,0,1,1
Wexford Borough,2017,10 - 14 years,0,0,0
Wexford Borough,2017,15 - 19 years,0,0,0
Wexford Borough,2017,20 - 24 years,0,0,0
Wexford Borough,2017,25 - 29 years,1,1,2
Wexford Borough,2017,30 - 34 years,0,1,1
Wexford Borough,2017,35 - 39 years,0,2,2
Wexford Borough,2017,40 - 44 years,1,2,3
Wexford Borough,2017,45 - 49 years,1,3,4
Wexford Borough,2017,5 - 9 years,0,0,0
Wexford Borough,2017,50 - 54 years,2,3,5
Wexford Borough,2017,55 - 59 years,3,7,10
Wexford Borough,2017,60 - 64 years,5,5,10
Wexford Borough,2017,65 - 69 years,8,9,17
Wexford Borough,2017,70 - 74 years,9,16,25
Wexford Borough,2017,75 - 79 years,9,17,26
Wexford Borough,2017,80 - 84 years,7,17,24
Wexford Borough,2017,85 years and over,34,17,51
Wexford Borough,2017,Under 1 year,1,2,3
Wexford Borough,2018,1 - 4 years,0,0,0
Wexford Borough,2018,10 - 14 years,0,0,0
Wexford Borough,2018,15 - 19 years,1,0,1
Wexford Borough,2018,20 - 24 years,0,1,1
Wexford Borough,2018,25 - 29 years,0,0,0
Wexford Borough,2018,30 - 34 years,0,0,0
Wexford Borough,2018,35 - 39 years,1,3,4
Wexford Borough,2018,40 - 44 years,2,1,3
Wexford Borough,2018,45 - 49 years,2,2,4
Wexford Borough,2018,5 - 9 years,0,0,0
Wexford Borough,2018,50 - 54 years,2,3,5
Wexford Borough,2018,55 - 59 years,5,4,9
Wexford Borough,2018,60 - 64 years,4,5,9
Wexford Borough,2018,65 - 69 years,5,10,15
Wexford Borough,2018,70 - 74 years,4,8,12
Wexford Borough,2018,75 - 79 years,18,12,30
Wexford Borough,2018,80 - 84 years,19,8,27
Wexford Borough,2018,85 years and over,38,16,54
Wexford Borough,2018,Under 1 year,1,1,2
Wexford Borough,2019,1 - 4 years,0,0,0
Wexford Borough,2019,10 - 14 years,0,0,0
Wexford Borough,2019,15 - 19 years,1,0,1
Wexford Borough,2019,20 - 24 years,0,1,1
Wexford Borough,2019,25 - 29 years,0,0,0
Wexford Borough,2019,30 - 34 years,0,0,0
Wexford Borough,2019,35 - 39 years,1,3,4
Wexford Borough,2019,40 - 44 years,2,1,3
Wexford Borough,2019,45 - 49 years,2,2,4
Wexford Borough,2019,5 - 9 years,0,0,0
Wexford Borough,2019,50 - 54 years,2,3,5
Wexford Borough,2019,55 - 59 years,5,4,9
Wexford Borough,2019,60 - 64 years,4,5,9
Wexford Borough,2019,65 - 69 years,5,10,15
Wexford Borough,2019,70 - 74 years,4,8,12
Wexford Borough,2019,75 - 79 years,18,12,30
Wexford Borough,2019,80 - 84 years,19,8,27
Wexford Borough,2019,85 years and over,38,16,54
Wexford Borough,2019,Under 1 year,1,1,2
Wexford Borough,2020,1 - 4 years,0,0,0
Wexford Borough,2020,10 - 14 years,0,0,0
Wexford Borough,2020,15 - 19 years,1,0,1
Wexford Borough,2020,20 - 24 years,0,1,1
Wexford Borough,2020,25 - 29 years,0,0,0
Wexford Borough,2020,30 - 34 years,0,0,0
Wexford Borough,2020,35 - 39 years,1,3,4
Wexford Borough,2020,40 - 44 years,2,1,3
Wexford Borough,2020,45 - 49 years,2,2,4
Wexford Borough,2020,5 - 9 years,0,0,0
Wexford Borough,2020,50 - 54 years,2,3,5
Wexford Borough,2020,55 - 59 years,5,4,9
Wexford Borough,2020,60 - 64 years,4,5,9
Wexford Borough,2020,65 - 69 years,5,10,15
Wexford Borough,2020,70 - 74 years,4,8,12
Wexford Borough,2020,75 - 79 years,18,12,30
Wexford Borough,2020,80 - 84 years,19,8,27
Wexford Borough,2020,85 years and over,38,16,54
Wexford Borough,2020,Under 1 year,1,1,2
Wicklow,2007,1 - 4 years,2,0,2
Wicklow,2007,10 - 14 years,0,1,1
Wicklow,2007,15 - 19 years,2,4,6
Wicklow,2007,20 - 24 years,1,5,6
Wicklow,2007,25 - 29 years,2,5,7
Wicklow,2007,30 - 34 years,3,6,9
Wicklow,2007,35 - 39 years,5,5,10
Wicklow,2007,40 - 44 years,6,5,11
Wicklow,2007,45 - 49 years,7,9,16
Wicklow,2007,5 - 9 years,0,1,1
Wicklow,2007,50 - 54 years,10,8,18
Wicklow,2007,55 - 59 years,10,24,34
Wicklow,2007,60 - 64 years,20,30,50
Wicklow,2007,65 - 69 years,23,44,67
Wicklow,2007,70 - 74 years,36,40,76
Wicklow,2007,75 - 79 years,73,58,131
Wicklow,2007,80 - 84 years,72,72,144
Wicklow,2007,85 years and over,145,78,223
Wicklow,2007,Under 1 year,2,5,7
Wicklow,2008,1 - 4 years,2,0,2
Wicklow,2008,10 - 14 years,0,2,2
Wicklow,2008,15 - 19 years,1,1,2
Wicklow,2008,20 - 24 years,2,1,3
Wicklow,2008,25 - 29 years,4,6,10
Wicklow,2008,30 - 34 years,2,3,5
Wicklow,2008,35 - 39 years,4,4,8
Wicklow,2008,40 - 44 years,6,11,17
Wicklow,2008,45 - 49 years,7,15,22
Wicklow,2008,5 - 9 years,0,2,2
Wicklow,2008,50 - 54 years,13,15,28
Wicklow,2008,55 - 59 years,16,14,30
Wicklow,2008,60 - 64 years,19,34,53
Wicklow,2008,65 - 69 years,26,27,53
Wicklow,2008,70 - 74 years,31,42,73
Wicklow,2008,75 - 79 years,38,54,92
Wicklow,2008,80 - 84 years,64,75,139
Wicklow,2008,85 years and over,119,70,189
Wicklow,2008,Under 1 year,3,6,9
Wicklow,2009,1 - 4 years,2,0,2
Wicklow,2009,10 - 14 years,1,2,3
Wicklow,2009,15 - 19 years,1,2,3
Wicklow,2009,20 - 24 years,2,3,5
Wicklow,2009,25 - 29 years,4,3,7
Wicklow,2009,30 - 34 years,1,3,4
Wicklow,2009,35 - 39 years,3,6,9
Wicklow,2009,40 - 44 years,4,8,12
Wicklow,2009,45 - 49 years,9,4,13
Wicklow,2009,5 - 9 years,0,2,2
Wicklow,2009,50 - 54 years,15,17,32
Wicklow,2009,55 - 59 years,12,19,31
Wicklow,2009,60 - 64 years,11,39,50
Wicklow,2009,65 - 69 years,20,39,59
Wicklow,2009,70 - 74 years,37,58,95
Wicklow,2009,75 - 79 years,51,53,104
Wicklow,2009,80 - 84 years,61,71,132
Wicklow,2009,85 years and over,134,89,223
Wicklow,2009,Under 1 year,4,2,6
Wicklow,2010,1 - 4 years,2,1,3
Wicklow,2010,10 - 14 years,1,1,2
Wicklow,2010,15 - 19 years,1,1,2
Wicklow,2010,20 - 24 years,1,5,6
Wicklow,2010,25 - 29 years,4,2,6
Wicklow,2010,30 - 34 years,1,6,7
Wicklow,2010,35 - 39 years,2,5,7
Wicklow,2010,40 - 44 years,1,6,7
Wicklow,2010,45 - 49 years,7,14,21
Wicklow,2010,5 - 9 years,0,1,1
Wicklow,2010,50 - 54 years,9,12,21
Wicklow,2010,55 - 59 years,3,14,17
Wicklow,2010,60 - 64 years,15,33,48
Wicklow,2010,65 - 69 years,23,36,59
Wicklow,2010,70 - 74 years,25,47,72
Wicklow,2010,75 - 79 years,37,57,94
Wicklow,2010,80 - 84 years,53,69,122
Wicklow,2010,85 years and over,140,63,203
Wicklow,2010,Under 1 year,7,9,16
Wicklow,2011,1 - 4 years,0,1,1
Wicklow,2011,10 - 14 years,1,0,1
Wicklow,2011,15 - 19 years,0,1,1
Wicklow,2011,20 - 24 years,1,7,8
Wicklow,2011,25 - 29 years,1,3,4
Wicklow,2011,30 - 34 years,3,4,7
Wicklow,2011,35 - 39 years,2,8,10
Wicklow,2011,40 - 44 years,5,8,13
Wicklow,2011,45 - 49 years,8,9,17
Wicklow,2011,5 - 9 years,0,1,1
Wicklow,2011,50 - 54 years,12,13,25
Wicklow,2011,55 - 59 years,16,31,47
Wicklow,2011,60 - 64 years,18,35,53
Wicklow,2011,65 - 69 years,25,41,66
Wicklow,2011,70 - 74 years,29,51,80
Wicklow,2011,75 - 79 years,37,57,94
Wicklow,2011,80 - 84 years,67,61,128
Wicklow,2011,85 years and over,155,84,239
Wicklow,2011,Under 1 year,4,8,12
Wicklow,2012,1 - 4 years,0,1,1
Wicklow,2012,10 - 14 years,1,0,1
Wicklow,2012,15 - 19 years,0,3,3
Wicklow,2012,20 - 24 years,1,3,4
Wicklow,2012,25 - 29 years,1,3,4
Wicklow,2012,30 - 34 years,4,3,7
Wicklow,2012,35 - 39 years,5,4,9
Wicklow,2012,40 - 44 years,5,8,13
Wicklow,2012,45 - 49 years,4,13,17
Wicklow,2012,5 - 9 years,0,1,1
Wicklow,2012,50 - 54 years,12,12,24
Wicklow,2012,55 - 59 years,16,18,34
Wicklow,2012,60 - 64 years,20,34,54
Wicklow,2012,65 - 69 years,26,53,79
Wicklow,2012,70 - 74 years,38,39,77
Wicklow,2012,75 - 79 years,48,65,113
Wicklow,2012,80 - 84 years,68,60,128
Wicklow,2012,85 years and over,166,71,237
Wicklow,2012,Under 1 year,4,2,6
Wicklow,2013,1 - 4 years,0,2,2
Wicklow,2013,10 - 14 years,1,0,1
Wicklow,2013,15 - 19 years,0,0,0
Wicklow,2013,20 - 24 years,1,0,1
Wicklow,2013,25 - 29 years,2,4,6
Wicklow,2013,30 - 34 years,0,2,2
Wicklow,2013,35 - 39 years,1,6,7
Wicklow,2013,40 - 44 years,4,6,10
Wicklow,2013,45 - 49 years,11,8,19
Wicklow,2013,5 - 9 years,0,0,0
Wicklow,2013,50 - 54 years,8,16,24
Wicklow,2013,55 - 59 years,18,19,37
Wicklow,2013,60 - 64 years,13,28,41
Wicklow,2013,65 - 69 years,29,46,75
Wicklow,2013,70 - 74 years,31,45,76
Wicklow,2013,75 - 79 years,36,55,91
Wicklow,2013,80 - 84 years,59,67,126
Wicklow,2013,85 years and over,188,84,272
Wicklow,2013,Under 1 year,2,4,6
Wicklow,2014,1 - 4 years,0,1,1
Wicklow,2014,10 - 14 years,1,1,2
Wicklow,2014,15 - 19 years,1,1,2
Wicklow,2014,20 - 24 years,1,5,6
Wicklow,2014,25 - 29 years,1,3,4
Wicklow,2014,30 - 34 years,1,4,5
Wicklow,2014,35 - 39 years,1,6,7
Wicklow,2014,40 - 44 years,3,8,11
Wicklow,2014,45 - 49 years,5,12,17
Wicklow,2014,5 - 9 years,0,0,0
Wicklow,2014,50 - 54 years,13,7,20
Wicklow,2014,55 - 59 years,22,17,39
Wicklow,2014,60 - 64 years,18,24,42
Wicklow,2014,65 - 69 years,31,40,71
Wicklow,2014,70 - 74 years,29,45,74
Wicklow,2014,75 - 79 years,44,47,91
Wicklow,2014,80 - 84 years,55,71,126
Wicklow,2014,85 years and over,177,91,268
Wicklow,2014,Under 1 year,4,4,8
Wicklow,2015,1 - 4 years,0,1,1
Wicklow,2015,10 - 14 years,1,1,2
Wicklow,2015,15 - 19 years,1,4,5
Wicklow,2015,20 - 24 years,1,5,6
Wicklow,2015,25 - 29 years,1,5,6
Wicklow,2015,30 - 34 years,2,4,6
Wicklow,2015,35 - 39 years,1,4,5
Wicklow,2015,40 - 44 years,3,6,9
Wicklow,2015,45 - 49 years,8,10,18
Wicklow,2015,5 - 9 years,0,0,0
